Province,year,Violent assault,Robberies with violence in public places,Robberies with violence and intimidation
    Lleida,2013.0,2302.0,0.0,557.0
    Rioja (La),2013.0,1462.0,137.0,211.0
    Lugo,2013.0,1422.0,73.0,123.0
    Madrid,2013.0,35149.0,15807.0,21921.0
    Málaga,2013.0,12207.0,1525.0,2222.0
    Murcia,2013.0,8457.0,1073.0,1690.0
    Navarra,2013.0,3712.0,219.0,354.0
    Ourense,2013.0,1460.0,79.0,143.0
    Asturias,2013.0,5617.0,458.0,766.0
    Palencia,2013.0,910.0,28.0,47.0
    Palmas (Las),2013.0,11316.0,675.0,1057.0
    Pontevedra,2013.0,5890.0,234.0,515.0
    Salamanca,2013.0,1742.0,104.0,158.0
    Santa Cruz de Tenerife,2013.0,7908.0,533.0,761.0
    Cantabria,2013.0,3180.0,199.0,371.0
    Segovia,2013.0,764.0,42.0,61.0
    Sevilla,2013.0,11915.0,2126.0,2924.0
    Soria,2013.0,363.0,21.0,30.0
    Tarragona,2013.0,4295.0,11.0,1465.0
    Teruel,2013.0,466.0,16.0,40.0
    Toledo,2013.0,4067.0,310.0,506.0
    Valencia/València,2013.0,15734.0,3882.0,5821.0
    Valladolid,2013.0,3209.0,122.0,196.0
    Bizkaia,2013.0,7348.0,1386.0,2166.0
    Zamora,2013.0,720.0,38.0,62.0
    Zaragoza,2013.0,4990.0,743.0,1116.0
    Ceuta,2013.0,743.0,169.0,223.0
    Melilla,2013.0,879.0,251.0,295.0
    Araba/Álava,2012.0,1884.0,322.0,422.0
    Albacete,2012.0,2300.0,215.0,325.0
    Alicante/Alacant,2012.0,14171.0,1948.0,3021.0
    Almería,2012.0,5341.0,799.0,1177.0
    Ávila,2012.0,1113.0,44.0,65.0
    Badajoz,2012.0,3623.0,185.0,300.0
    Balears (Illes),2012.0,8966.0,1031.0,1585.0
    Barcelona,2012.0,25631.0,63.0,28497.0
    Burgos,2012.0,1888.0,146.0,221.0
    Cáceres,2012.0,1689.0,54.0,88.0
    Cádiz,2012.0,10789.0,766.0,1121.0
    Castellón/Castelló,2012.0,3378.0,435.0,721.0
    Ciudad Real,2012.0,2966.0,176.0,304.0
    Córdoba,2012.0,4958.0,729.0,962.0
    Coruña (A),2012.0,5794.0,369.0,635.0
    Cuenca,2012.0,1107.0,49.0,82.0
    Girona,2012.0,4681.0,4.0,1038.0
    Granada,2012.0,6081.0,1262.0,1625.0
    Guadalajara,2012.0,1340.0,128.0,198.0
    Gipuzkoa,2012.0,3140.0,323.0,491.0
    Huelva,2012.0,4068.0,317.0,465.0
    Huesca,2012.0,829.0,36.0,68.0
    Jaén,2012.0,3681.0,369.0,516.0
    León,2012.0,2933.0,161.0,263.0
    Lleida,2012.0,2484.0,0.0,639.0
    Rioja (La),2012.0,1623.0,171.0,242.0
    Lugo,2012.0,1505.0,68.0,127.0
    Madrid,2012.0,37374.0,18007.0,24795.0
    Málaga,2012.0,12981.0,1836.0,2644.0
    Murcia,2012.0,9550.0,1181.0,1787.0
    Navarra,2012.0,2563.0,178.0,313.0
    Ourense,2012.0,1352.0,118.0,190.0
    Asturias,2012.0,5677.0,540.0,836.0
    Palencia,2012.0,912.0,37.0,49.0
    Palmas (Las),2012.0,11509.0,770.0,1184.0
    Pontevedra,2012.0,6163.0,322.0,606.0
    Salamanca,2012.0,1640.0,99.0,157.0
    Santa Cruz de Tenerife,2012.0,8484.0,576.0,827.0
    Cantabria,2012.0,3292.0,242.0,419.0
    Segovia,2012.0,812.0,30.0,53.0
    Sevilla,2012.0,11995.0,2333.0,3163.0
    Soria,2012.0,474.0,20.0,34.0
    Tarragona,2012.0,4474.0,10.0,1618.0
    Teruel,2012.0,476.0,12.0,25.0
    Toledo,2012.0,4236.0,305.0,510.0
    Valencia/València,2012.0,16344.0,4771.0,6901.0
    Valladolid,2012.0,3306.0,155.0,280.0
    Bizkaia,2012.0,7401.0,1974.0,2948.0
    Zamora,2012.0,865.0,46.0,77.0
    Zaragoza,2012.0,4682.0,917.0,1367.0
    Ceuta,2012.0,812.0,141.0,165.0
    Melilla,2012.0,887.0,210.0,256.0
    Araba/Álava,2011.0,1910.0,342.0,506.0
    Albacete,2011.0,2241.0,202.0,323.0
    Alicante/Alacant,2011.0,14398.0,1596.0,3037.0
    Almería,2011.0,5718.0,573.0,1081.0
    Ávila,2011.0,1188.0,39.0,63.0
    Badajoz,2011.0,3896.0,185.0,296.0
    Balears (Illes),2011.0,9608.0,939.0,1608.0
    Barcelona,2011.0,26112.0,44.0,25005.0
    Burgos,2011.0,1968.0,150.0,254.0
    Cáceres,2011.0,1759.0,37.0,82.0
    Cádiz,2011.0,11433.0,767.0,1199.0
    Castellón/Castelló,2011.0,3242.0,271.0,676.0
    Ciudad Real,2011.0,2996.0,169.0,268.0
    Córdoba,2011.0,5118.0,741.0,969.0
    Coruña (A),2011.0,5702.0,295.0,618.0
    Cuenca,2011.0,1096.0,35.0,82.0
    Girona,2011.0,4821.0,5.0,1034.0
    Granada,2011.0,6522.0,1150.0,1560.0
    Guadalajara,2011.0,1507.0,99.0,163.0
    Gipuzkoa,2011.0,3206.0,238.0,389.0
    Huelva,2011.0,4361.0,294.0,484.0
    Huesca,2011.0,960.0,28.0,61.0
    Jaén,2011.0,3949.0,341.0,498.0
    León,2011.0,3301.0,187.0,303.0
    Lleida,2011.0,2425.0,0.0,518.0
    Rioja (La),2011.0,1625.0,111.0,224.0
    Lugo,2011.0,1552.0,90.0,141.0
    Madrid,2011.0,38965.0,15033.0,21619.0
    Málaga,2011.0,13507.0,1865.0,2762.0
    Murcia,2011.0,10017.0,946.0,1723.0
    Navarra,2011.0,2961.0,95.0,175.0
    Ourense,2011.0,1441.0,54.0,101.0
    Asturias,2011.0,6256.0,429.0,643.0
    Palencia,2011.0,1008.0,41.0,67.0
    Palmas (Las),2011.0,11982.0,722.0,1212.0
    Pontevedra,2011.0,6262.0,253.0,504.0
    Salamanca,2011.0,1635.0,111.0,172.0
    Santa Cruz de Tenerife,2011.0,9261.0,504.0,805.0
    Cantabria,2011.0,3711.0,185.0,323.0
    Segovia,2011.0,919.0,37.0,60.0
    Sevilla,2011.0,13667.0,2485.0,3314.0
    Soria,2011.0,482.0,14.0,23.0
    Tarragona,2011.0,4801.0,5.0,1404.0
    Teruel,2011.0,545.0,11.0,28.0
    Toledo,2011.0,4424.0,299.0,510.0
    Valencia/València,2011.0,17177.0,3900.0,6453.0
    Valladolid,2011.0,3342.0,173.0,271.0
    Bizkaia,2011.0,7517.0,1360.0,1993.0
    Zamora,2011.0,890.0,31.0,63.0
    Zaragoza,2011.0,5343.0,942.0,1477.0
    Ceuta,2011.0,783.0,125.0,168.0
    Melilla,2011.0,948.0,182.0,240.0
    Araba/Álava,2010.0,1825.0,308.0,432.0
    Albacete,2010.0,2164.0,236.0,346.0
    Alicante/Alacant,2010.0,13911.0,2356.0,3307.0
    Almería,2010.0,5830.0,714.0,1050.0
    Ávila,2010.0,1110.0,47.0,68.0
    Badajoz,2010.0,4185.0,216.0,343.0
    Balears (Illes),2010.0,8938.0,1031.0,1476.0
    Barcelona,2010.0,25790.0,53.0,22250.0
    Burgos,2010.0,1959.0,145.0,222.0
    Cáceres,2010.0,1874.0,59.0,98.0
    Cádiz,2010.0,11482.0,791.0,1117.0
    Castellón/Castelló,2010.0,3438.0,434.0,733.0
    Ciudad Real,2010.0,3242.0,175.0,258.0
    Córdoba,2010.0,4947.0,633.0,810.0
    Coruña (A),2010.0,5662.0,402.0,629.0
    Cuenca,2010.0,1081.0,41.0,84.0
    Girona,2010.0,4714.0,0.0,943.0
    Granada,2010.0,6989.0,1128.0,1487.0
    Guadalajara,2010.0,1517.0,91.0,134.0
    Gipuzkoa,2010.0,3022.0,210.0,314.0
    Huelva,2010.0,4344.0,353.0,491.0
    Huesca,2010.0,1011.0,33.0,65.0
    Jaén,2010.0,3951.0,374.0,517.0
    León,2010.0,3175.0,209.0,318.0
    Lleida,2010.0,2479.0,1.0,528.0
    Rioja (La),2010.0,1695.0,135.0,220.0
    Lugo,2010.0,1565.0,87.0,142.0
    Madrid,2010.0,39030.0,15318.0,20832.0
    Málaga,2010.0,12983.0,1934.0,2799.0
    Murcia,2010.0,9882.0,1079.0,1581.0
    Navarra,2010.0,2726.0,117.0,218.0
    Ourense,2010.0,1441.0,80.0,120.0
    Asturias,2010.0,6171.0,396.0,612.0
    Palencia,2010.0,985.0,30.0,72.0
    Palmas (Las),2010.0,11756.0,795.0,1114.0
    Pontevedra,2010.0,5949.0,326.0,549.0
    Salamanca,2010.0,1708.0,109.0,175.0
    Santa Cruz de Tenerife,2010.0,9512.0,526.0,830.0
    Cantabria,2010.0,3564.0,277.0,397.0
    Segovia,2010.0,813.0,48.0,69.0
    Sevilla,2010.0,13269.0,2998.0,3923.0
    Soria,2010.0,498.0,17.0,34.0
    Tarragona,2010.0,4667.0,9.0,1433.0
    Teruel,2010.0,570.0,17.0,24.0
    Toledo,2010.0,4301.0,229.0,398.0
    Valencia/València,2010.0,17646.0,4505.0,6345.0
    Valladolid,2010.0,3183.0,180.0,301.0
    Bizkaia,2010.0,6945.0,1449.0,2045.0
    Zamora,2010.0,810.0,33.0,62.0
    Zaragoza,2010.0,5171.0,1052.0,1531.0
    Ceuta,2010.0,833.0,141.0,189.0
    Melilla,2010.0,1011.0,171.0,194.0
