Province,year,Total_crimes
    Almería,2019,20578.0
    Ávila,2019,2894.0
    Badajoz,2019,12991.0
    Balears (Illes),2019,55213.0
    Barcelona,2019,310081.0
    Burgos,2019,7768.0
    Cáceres,2019,5020.0
    Cádiz,2019,33195.0
    Castellón/Castelló,2019,17513.0
    Ciudad Real,2019,8315.0
    Córdoba,2019,16983.0
    Coruña (A),2019,22259.0
    Cuenca,2019,4017.0
    Girona,2019,35917.0
    Granada,2019,22560.0
    Guadalajara,2019,6645.0
    Gipuzkoa,2019,16437.0
    Huelva,2019,14345.0
    Huesca,2019,3284.0
    Jaén,2019,10170.0
    León,2019,9869.0
    Lleida,2019,12148.0
    Rioja (La),2019,5878.0
    Lugo,2019,4785.0
    Madrid,2019,315342.0
    Málaga,2019,58716.0
    Murcia,2019,47454.0
    Navarra,2019,18623.0
    Ourense,2019,4663.0
    Asturias,2019,17178.0
    Palencia,2019,2367.0
    Palmas (Las),2019,34404.0
    Pontevedra,2019,19297.0
    Salamanca,2019,6624.0
    Santa Cruz de Tenerife,2019,33562.0
    Cantabria,2019,13151.0
    Segovia,2019,2538.0
    Sevilla,2019,73806.0
    Soria,2019,1446.0
    Tarragona,2019,29618.0
    Teruel,2019,1548.0
    Toledo,2019,19681.0
    Valencia/València,2019,91078.0
    Valladolid,2019,11198.0
    Bizkaia,2019,40897.0
    Zamora,2019,2902.0
    Zaragoza,2019,24356.0
    Ceuta,2019,2694.0
    Melilla,2019,4845.0
    Araba/Álava,2018,8013.0
    Albacete,2018,9467.0
    Alicante/Alacant,2018,71339.0
    Almería,2018,21349.0
    Ávila,2018,3013.0
    Badajoz,2018,13126.0
    Balears (Illes),2018,55746.0
    Barcelona,2018,296763.0
    Burgos,2018,7711.0
    Cáceres,2018,5444.0
    Cádiz,2018,35673.0
    Castellón/Castelló,2018,19080.0
    Ciudad Real,2018,8544.0
    Córdoba,2018,18187.0
    Coruña (A),2018,23946.0
    Cuenca,2018,4176.0
    Girona,2018,33445.0
    Granada,2018,24027.0
    Guadalajara,2018,7129.0
    Gipuzkoa,2018,15981.0
    Huelva,2018,14882.0
    Huesca,2018,3238.0
    Jaén,2018,10513.0
    León,2018,10687.0
    Lleida,2018,12801.0
    Rioja (La),2018,5905.0
    Lugo,2018,4948.0
    Madrid,2018,312580.0
    Málaga,2018,58784.0
    Murcia,2018,47689.0
    Navarra,2018,17703.0
    Ourense,2018,4767.0
    Asturias,2018,17189.0
    Palencia,2018,2398.0
    Palmas (Las),2018,34129.0
    Pontevedra,2018,19199.0
    Salamanca,2018,7004.0
    Santa Cruz de Tenerife,2018,35122.0
    Cantabria,2018,13162.0
    Segovia,2018,2631.0
    Sevilla,2018,69769.0
    Soria,2018,1441.0
    Tarragona,2018,30635.0
    Teruel,2018,1724.0
    Toledo,2018,21127.0
    Valencia/València,2018,90336.0
    Valladolid,2018,11404.0
    Bizkaia,2018,39616.0
    Zamora,2018,2999.0
    Zaragoza,2018,23145.0
    Ceuta,2018,2873.0
    Melilla,2018,4793.0
    Araba/Álava,2017,8204.0
    Albacete,2017,9537.0
    Alicante/Alacant,2017,76329.0
    Almería,2017,24305.0
    Ávila,2017,3002.0
    Badajoz,2017,14368.0
    Balears (Illes),2017,58296.0
    Barcelona,2017,269297.0
    Burgos,2017,7941.0
    Cáceres,2017,5555.0
    Cádiz,2017,38065.0
    Castellón/Castelló,2017,19014.0
    Ciudad Real,2017,9410.0
    Córdoba,2017,19844.0
    Coruña (A),2017,23637.0
    Cuenca,2017,4335.0
    Girona,2017,31300.0
    Granada,2017,26057.0
    Guadalajara,2017,6592.0
    Gipuzkoa,2017,15716.0
    Huelva,2017,16063.0
    Huesca,2017,3415.0
    Jaén,2017,11190.0
    León,2017,10521.0
    Lleida,2017,12054.0
