
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
Total Nacional,
    5.3.2.-Robos con violencia en viviendas,8.0,16.0,4.0,10.0,7.0,9.0,12.0,17.0,7.0,10.0,11.0,17.0,4.0,8.0,
    5.3.3.-Robos con violencia en establecimientos,12.0,22.0,24.0,17.0,21.0,26.0,21.0,14.0,17.0,21.0,21.0,19.0,30.0,20.0,
Gipuzkoa,
    5.2.-Robos con fuerza en las cosas,3940.0,4277.0,3700.0,3508.0,4047.0,4077.0,3959.0,4454.0,4952.0,5002.0,5327.0,5944.0,5400.0,6100.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,10.0,12.0,8.0,9.0,10.0,12.0,11.0,14.0,8.0,8.0,14.0,8.0,14.0,11.0,
    5.2.2.-Robos con fuerza en viviendas,1572.0,1675.0,1249.0,1200.0,1184.0,1296.0,1321.0,1505.0,1832.0,1883.0,1670.0,1454.0,1388.0,1190.0,
    5.2.3.-Robos con fuerza en establecimientos,807.0,924.0,736.0,727.0,1053.0,872.0,846.0,954.0,1090.0,903.0,1231.0,1197.0,1185.0,1221.0,
    5.3.-Robos con violencia o intimidación,489.0,399.0,297.0,228.0,296.0,349.0,341.0,320.0,276.0,320.0,305.0,491.0,389.0,314.0,
    5.3.1.-Robos con violencia en vía pública,322.0,268.0,201.0,150.0,177.0,218.0,229.0,206.0,151.0,173.0,193.0,323.0,238.0,210.0,
    5.3.2.-Robos con violencia en viviendas,32.0,28.0,21.0,24.0,28.0,18.0,9.0,37.0,25.0,27.0,28.0,48.0,29.0,19.0,
    5.3.3.-Robos con violencia en establecimientos,85.0,68.0,49.0,30.0,70.0,80.0,69.0,53.0,80.0,81.0,59.0,74.0,87.0,57.0,
Huelva,
    5.2.-Robos con fuerza en las cosas,3362.0,3039.0,2570.0,2813.0,3101.0,3261.0,3586.0,3985.0,3973.0,4243.0,4481.0,4503.0,4797.0,4849.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1295.0,1212.0,909.0,704.0,800.0,788.0,1007.0,1174.0,1078.0,1196.0,1203.0,1375.0,1598.0,792.0,
    5.2.2.-Robos con fuerza en viviendas,968.0,880.0,845.0,1164.0,1255.0,1440.0,1357.0,1503.0,1598.0,1550.0,1628.0,1512.0,1530.0,1361.0,
    5.2.3.-Robos con fuerza en establecimientos,334.0,275.0,276.0,389.0,358.0,342.0,524.0,561.0,476.0,527.0,507.0,516.0,564.0,634.0,
    5.3.-Robos con violencia o intimidación,337.0,359.0,266.0,249.0,287.0,264.0,333.0,309.0,336.0,365.0,429.0,465.0,484.0,491.0,
    5.3.1.-Robos con violencia en vía pública,181.0,195.0,186.0,141.0,146.0,140.0,193.0,172.0,203.0,214.0,277.0,317.0,294.0,353.0,
    5.3.2.-Robos con violencia en viviendas,34.0,40.0,28.0,30.0,36.0,33.0,42.0,41.0,34.0,41.0,44.0,36.0,31.0,38.0,
    5.3.3.-Robos con violencia en establecimientos,60.0,68.0,26.0,37.0,38.0,50.0,55.0,43.0,38.0,63.0,56.0,47.0,58.0,54.0,
Huesca,
    5.2.-Robos con fuerza en las cosas,1025.0,925.0,679.0,486.0,763.0,673.0,771.0,794.0,842.0,795.0,872.0,950.0,1136.0,1223.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,137.0,107.0,59.0,66.0,116.0,90.0,113.0,99.0,117.0,147.0,101.0,176.0,205.0,76.0,
    5.2.2.-Robos con fuerza en viviendas,332.0,241.0,226.0,165.0,202.0,203.0,263.0,207.0,237.0,210.0,245.0,214.0,140.0,262.0,
    5.2.3.-Robos con fuerza en establecimientos,119.0,96.0,64.0,64.0,96.0,73.0,125.0,153.0,116.0,96.0,140.0,184.0,158.0,269.0,
    5.3.-Robos con violencia o intimidación,84.0,80.0,32.0,32.0,40.0,37.0,35.0,50.0,35.0,64.0,84.0,68.0,61.0,65.0,
    5.3.1.-Robos con violencia en vía pública,38.0,21.0,15.0,16.0,17.0,16.0,15.0,20.0,16.0,20.0,31.0,36.0,28.0,33.0,
    5.3.2.-Robos con violencia en viviendas,3.0,6.0,6.0,1.0,4.0,2.0,1.0,1.0,5.0,7.0,10.0,4.0,2.0,4.0,
    5.3.3.-Robos con violencia en establecimientos,17.0,19.0,6.0,7.0,12.0,11.0,9.0,11.0,5.0,22.0,20.0,16.0,11.0,17.0,
Jaén,
    5.2.-Robos con fuerza en las cosas,2235.0,2078.0,1589.0,1748.0,1886.0,2134.0,2123.0,2845.0,2875.0,2918.0,2917.0,3061.0,3242.0,3782.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,446.0,285.0,315.0,368.0,410.0,568.0,482.0,637.0,603.0,748.0,785.0,815.0,1010.0,848.0,
    5.2.2.-Robos con fuerza en viviendas,752.0,769.0,572.0,627.0,715.0,667.0,633.0,977.0,947.0,822.0,781.0,748.0,447.0,910.0,
    5.2.3.-Robos con fuerza en establecimientos,278.0,262.0,156.0,238.0,251.0,294.0,355.0,476.0,429.0,432.0,427.0,524.0,486.0,677.0,
    5.3.-Robos con violencia o intimidación,207.0,232.0,174.0,177.0,280.0,201.0,262.0,318.0,359.0,405.0,528.0,516.0,498.0,517.0,
    5.3.1.-Robos con violencia en vía pública,109.0,130.0,96.0,89.0,164.0,116.0,162.0,192.0,235.0,287.0,363.0,369.0,341.0,374.0,
    5.3.2.-Robos con violencia en viviendas,26.0,24.0,26.0,16.0,34.0,18.0,24.0,26.0,28.0,20.0,26.0,29.0,28.0,35.0,
    5.3.3.-Robos con violencia en establecimientos,40.0,40.0,19.0,50.0,49.0,22.0,41.0,55.0,35.0,47.0,67.0,48.0,54.0,73.0,
León,
    5.2.-Robos con fuerza en las cosas,1662.0,1401.0,1141.0,1271.0,1749.0,2125.0,2086.0,2377.0,2152.0,2257.0,2659.0,2938.0,2605.0,2467.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,465.0,258.0,221.0,235.0,327.0,386.0,324.0,325.0,326.0,313.0,514.0,610.0,681.0,592.0,
    5.2.2.-Robos con fuerza en viviendas,485.0,468.0,397.0,406.0,582.0,758.0,679.0,954.0,826.0,722.0,765.0,859.0,467.0,469.0,
    5.2.3.-Robos con fuerza en establecimientos,357.0,293.0,202.0,272.0,347.0,471.0,476.0,559.0,427.0,583.0,593.0,595.0,561.0,666.0,
    5.3.-Robos con violencia o intimidación,187.0,183.0,123.0,165.0,183.0,164.0,193.0,231.0,231.0,260.0,309.0,263.0,303.0,318.0,
    5.3.1.-Robos con violencia en vía pública,113.0,102.0,69.0,96.0,102.0,106.0,125.0,144.0,143.0,151.0,185.0,161.0,187.0,209.0,
    5.3.2.-Robos con violencia en viviendas,15.0,24.0,18.0,17.0,18.0,12.0,15.0,32.0,15.0,33.0,32.0,29.0,21.0,23.0,
    5.3.3.-Robos con violencia en establecimientos,40.0,39.0,25.0,35.0,47.0,27.0,34.0,30.0,39.0,42.0,59.0,51.0,55.0,62.0,
Lleida,
    5.2.-Robos con fuerza en las cosas,2828.0,3024.0,2605.0,2698.0,3241.0,3479.0,3053.0,3277.0,3794.0,3978.0,5034.0,4995.0,4805.0,4760.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,620.0,923.0,1007.0,5.0,1116.0,1216.0,987.0,1070.0,1067.0,1250.0,1580.0,1570.0,1772.0,2281.0,
    5.2.2.-Robos con fuerza en viviendas,1068.0,936.0,642.0,666.0,807.0,812.0,867.0,741.0,867.0,747.0,991.0,894.0,846.0,625.0,
    5.2.3.-Robos con fuerza en establecimientos,299.0,316.0,237.0,328.0,1.0,3.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,
    5.3.-Robos con violencia o intimidación,395.0,479.0,377.0,285.0,455.0,409.0,390.0,392.0,435.0,409.0,557.0,639.0,518.0,528.0,
    5.3.1.-Robos con violencia en vía pública,226.0,307.0,248.0,181.0,2.0,1.0,3.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,
    5.3.2.-Robos con violencia en viviendas,40.0,31.0,22.0,28.0,6.0,14.0,9.0,9.0,17.0,17.0,19.0,24.0,38.0,50.0,
    5.3.3.-Robos con violencia en establecimientos,85.0,95.0,77.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,
Rioja (La),
    5.2.-Robos con fuerza en las cosas,1356.0,1251.0,844.0,806.0,942.0,1001.0,1271.0,1187.0,1438.0,1676.0,2066.0,1931.0,1967.0,2043.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,260.0,208.0,178.0,155.0,185.0,177.0,222.0,223.0,229.0,387.0,446.0,435.0,405.0,327.0,
    5.2.2.-Robos con fuerza en viviendas,559.0,527.0,397.0,352.0,437.0,466.0,587.0,494.0,647.0,629.0,823.0,628.0,327.0,489.0,
    5.2.3.-Robos con fuerza en establecimientos,145.0,167.0,92.0,99.0,109.0,133.0,124.0,148.0,170.0,210.0,262.0,311.0,261.0,363.0,
    5.3.-Robos con violencia o intimidación,150.0,121.0,116.0,78.0,91.0,77.0,104.0,119.0,136.0,172.0,211.0,242.0,224.0,220.0,
    5.3.1.-Robos con violencia en vía pública,88.0,69.0,68.0,44.0,41.0,46.0,54.0,75.0,92.0,106.0,137.0,171.0,111.0,135.0,
    5.3.2.-Robos con violencia en viviendas,12.0,8.0,7.0,5.0,7.0,8.0,11.0,4.0,11.0,17.0,17.0,22.0,20.0,17.0,
    5.3.3.-Robos con violencia en establecimientos,36.0,29.0,25.0,19.0,32.0,12.0,24.0,27.0,17.0,26.0,43.0,28.0,51.0,48.0,
Lugo,
    5.2.-Robos con fuerza en las cosas,885.0,561.0,589.0,693.0,873.0,922.0,902.0,992.0,1162.0,1238.0,1374.0,1328.0,1185.0,1076.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,231.0,162.0,133.0,106.0,199.0,202.0,249.0,218.0,239.0,267.0,302.0,251.0,223.0,116.0,
    5.2.2.-Robos con fuerza en viviendas,279.0,175.0,218.0,187.0,280.0,347.0,251.0,322.0,383.0,363.0,469.0,420.0,291.0,260.0,
    5.2.3.-Robos con fuerza en establecimientos,167.0,89.0,111.0,195.0,185.0,182.0,199.0,172.0,235.0,298.0,297.0,341.0,341.0,297.0,
    5.3.-Robos con violencia o intimidación,67.0,86.0,79.0,60.0,86.0,102.0,97.0,100.0,124.0,119.0,123.0,127.0,141.0,142.0,
    5.3.1.-Robos con violencia en vía pública,39.0,59.0,47.0,30.0,46.0,54.0,57.0,60.0,69.0,76.0,73.0,68.0,90.0,87.0,
    5.3.2.-Robos con violencia en viviendas,3.0,9.0,7.0,8.0,10.0,14.0,10.0,10.0,13.0,12.0,12.0,19.0,13.0,12.0,
    5.3.3.-Robos con violencia en establecimientos,20.0,13.0,11.0,15.0,17.0,25.0,21.0,16.0,23.0,15.0,24.0,25.0,22.0,27.0,
Madrid,
    5.2.-Robos con fuerza en las cosas,41106.0,39960.0,33408.0,31715.0,47391.0,49133.0,48650.0,54586.0,52667.0,55553.0,59488.0,63266.0,65192.0,70721.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,21961.0,21974.0,17229.0,15947.0,24125.0,24583.0,24412.0,26262.0,24021.0,25162.0,29116.0,34034.0,36153.0,34265.0,
    5.2.2.-Robos con fuerza en viviendas,9336.0,9518.0,8243.0,7052.0,11469.0,12781.0,12562.0,15783.0,15915.0,16656.0,15924.0,14341.0,11279.0,13005.0,
    5.2.3.-Robos con fuerza en establecimientos,4998.0,4034.0,3940.0,4972.0,6462.0,6282.0,6457.0,7175.0,6488.0,7154.0,7347.0,7457.0,7016.0,7890.0,
    5.3.-Robos con violencia o intimidación,12015.0,12626.0,12153.0,10688.0,15372.0,14268.0,16314.0,16992.0,17454.0,18466.0,21921.0,24795.0,21619.0,20832.0,
    5.3.1.-Robos con violencia en vía pública,8252.0,8560.0,8283.0,7362.0,10896.0,9938.0,11551.0,12130.0,12307.0,13157.0,15807.0,18007.0,15033.0,15318.0,
    5.3.2.-Robos con violencia en viviendas,646.0,582.0,721.0,633.0,871.0,881.0,1093.0,1134.0,1463.0,1754.0,2013.0,2116.0,1576.0,1213.0,
    5.3.3.-Robos con violencia en establecimientos,1495.0,1661.0,1277.0,1304.0,1595.0,1572.0,1616.0,1547.0,1607.0,1610.0,1829.0,1929.0,1776.0,2205.0,
Málaga,
    5.2.-Robos con fuerza en las cosas,9356.0,9426.0,8461.0,7688.0,9662.0,9748.0,10683.0,11241.0,10662.0,11304.0,13731.0,15126.0,16943.0,18397.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,3659.0,3896.0,3552.0,2584.0,3325.0,3597.0,4125.0,4345.0,4235.0,4254.0,5300.0,6317.0,7147.0,6750.0,
    5.2.2.-Robos con fuerza en viviendas,3407.0,3348.0,2933.0,3007.0,4047.0,3863.0,4096.0,4316.0,3768.0,4198.0,5073.0,5173.0,4599.0,5793.0,
    5.2.3.-Robos con fuerza en establecimientos,1207.0,1143.0,1042.0,1114.0,1232.0,1229.0,1358.0,1376.0,1410.0,1409.0,1649.0,1518.0,1632.0,2177.0,
    5.3.-Robos con violencia o intimidación,1914.0,1742.0,1388.0,1119.0,1599.0,1477.0,1523.0,1594.0,1535.0,1758.0,2222.0,2644.0,2762.0,2799.0,
    5.3.1.-Robos con violencia en vía pública,1208.0,1139.0,893.0,711.0,1028.0,958.0,1035.0,1102.0,1044.0,1200.0,1525.0,1836.0,1865.0,1934.0,
    5.3.2.-Robos con violencia en viviendas,163.0,149.0,146.0,101.0,146.0,119.0,116.0,124.0,113.0,152.0,173.0,189.0,142.0,191.0,
    5.3.3.-Robos con violencia en establecimientos,322.0,246.0,213.0,212.0,264.0,223.0,212.0,189.0,211.0,245.0,354.0,370.0,322.0,446.0,
Murcia,
    5.2.-Robos con fuerza en las cosas,10318.0,10214.0,9127.0,8287.0,10780.0,11206.0,11571.0,11120.0,11376.0,11745.0,12637.0,12954.0,13165.0,13907.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,3248.0,2922.0,2940.0,2352.0,2902.0,2805.0,3223.0,3099.0,2885.0,2635.0,2898.0,3030.0,3883.0,2365.0,
    5.2.2.-Robos con fuerza en viviendas,3909.0,4001.0,3793.0,3796.0,5017.0,5662.0,5826.0,5370.0,5068.0,5429.0,5878.0,5534.0,4228.0,4972.0,
    5.2.3.-Robos con fuerza en establecimientos,1356.0,1306.0,1028.0,859.0,1096.0,1073.0,1105.0,1173.0,1319.0,1616.0,1372.0,1668.0,1454.0,1433.0,
    5.3.-Robos con violencia o intimidación,2071.0,1999.0,1375.0,1207.0,1536.0,1444.0,1458.0,1495.0,1480.0,1433.0,1690.0,1787.0,1723.0,1581.0,
    5.3.1.-Robos con violencia en vía pública,1307.0,1293.0,809.0,742.0,917.0,968.0,938.0,962.0,925.0,930.0,1073.0,1181.0,946.0,1079.0,
    5.3.2.-Robos con violencia en viviendas,143.0,130.0,112.0,123.0,124.0,109.0,131.0,123.0,139.0,157.0,150.0,148.0,121.0,101.0,
    5.3.3.-Robos con violencia en establecimientos,345.0,317.0,236.0,176.0,258.0,191.0,197.0,189.0,204.0,193.0,246.0,210.0,248.0,250.0,
Navarra,
    5.2.-Robos con fuerza en las cosas,2939.0,2850.0,2358.0,2202.0,2912.0,3093.0,2877.0,3253.0,2833.0,3505.0,3310.0,3733.0,3667.0,3570.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,628.0,649.0,510.0,635.0,744.0,819.0,664.0,927.0,617.0,691.0,741.0,719.0,690.0,492.0,
    5.2.2.-Robos con fuerza en viviendas,1034.0,985.0,824.0,666.0,1006.0,987.0,955.0,1029.0,967.0,1133.0,1058.0,1176.0,868.0,854.0,
    5.2.3.-Robos con fuerza en establecimientos,419.0,419.0,399.0,388.0,458.0,476.0,504.0,440.0,342.0,520.0,473.0,545.0,601.0,626.0,
    5.3.-Robos con violencia o intimidación,467.0,422.0,298.0,226.0,331.0,255.0,432.0,424.0,351.0,309.0,354.0,313.0,175.0,218.0,
    5.3.1.-Robos con violencia en vía pública,346.0,303.0,200.0,151.0,232.0,173.0,299.0,302.0,203.0,203.0,219.0,178.0,95.0,117.0,
    5.3.2.-Robos con violencia en viviendas,22.0,27.0,16.0,17.0,17.0,20.0,24.0,23.0,27.0,23.0,23.0,31.0,10.0,15.0,
    5.3.3.-Robos con violencia en establecimientos,57.0,55.0,43.0,32.0,54.0,44.0,57.0,44.0,68.0,48.0,60.0,56.0,32.0,46.0,
Ourense,
    5.2.-Robos con fuerza en las cosas,1110.0,942.0,787.0,816.0,857.0,922.0,890.0,1227.0,1112.0,1350.0,1656.0,1512.0,1206.0,1092.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,344.0,249.0,150.0,164.0,156.0,200.0,145.0,265.0,216.0,302.0,288.0,380.0,344.0,260.0,
    5.2.2.-Robos con fuerza en viviendas,363.0,305.0,319.0,257.0,336.0,349.0,367.0,439.0,430.0,405.0,639.0,475.0,263.0,253.0,
    5.2.3.-Robos con fuerza en establecimientos,225.0,201.0,117.0,219.0,175.0,157.0,152.0,261.0,234.0,361.0,323.0,301.0,203.0,263.0,
    5.3.-Robos con violencia o intimidación,101.0,114.0,98.0,100.0,87.0,93.0,106.0,107.0,125.0,133.0,143.0,190.0,101.0,120.0,
    5.3.1.-Robos con violencia en vía pública,53.0,71.0,50.0,49.0,42.0,48.0,45.0,55.0,75.0,64.0,79.0,118.0,54.0,80.0,
    5.3.2.-Robos con violencia en viviendas,12.0,7.0,11.0,14.0,11.0,13.0,12.0,11.0,20.0,24.0,18.0,19.0,6.0,12.0,
    5.3.3.-Robos con violencia en establecimientos,26.0,22.0,23.0,32.0,24.0,19.0,33.0,31.0,20.0,31.0,34.0,36.0,25.0,18.0,
Asturias,
    5.2.-Robos con fuerza en las cosas,2581.0,2083.0,1976.0,1891.0,2440.0,2359.0,2650.0,3043.0,3075.0,3222.0,3348.0,3553.0,3489.0,4028.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,586.0,458.0,394.0,389.0,421.0,466.0,485.0,565.0,467.0,568.0,568.0,677.0,736.0,797.0,
    5.2.2.-Robos con fuerza en viviendas,990.0,830.0,832.0,650.0,908.0,871.0,956.0,1101.0,956.0,931.0,1029.0,1130.0,683.0,770.0,
    5.2.3.-Robos con fuerza en establecimientos,561.0,353.0,365.0,459.0,618.0,594.0,762.0,832.0,1000.0,944.0,896.0,867.0,1038.0,1122.0,
    5.3.-Robos con violencia o intimidación,424.0,392.0,295.0,317.0,362.0,355.0,371.0,531.0,603.0,683.0,766.0,836.0,643.0,612.0,
    5.3.1.-Robos con violencia en vía pública,216.0,212.0,155.0,164.0,196.0,207.0,218.0,321.0,360.0,408.0,458.0,540.0,429.0,396.0,
    5.3.2.-Robos con violencia en viviendas,44.0,35.0,25.0,41.0,41.0,35.0,35.0,44.0,64.0,85.0,81.0,71.0,57.0,46.0,
    5.3.3.-Robos con violencia en establecimientos,109.0,95.0,67.0,78.0,97.0,76.0,70.0,103.0,130.0,116.0,130.0,117.0,84.0,114.0,
Palencia,
    5.2.-Robos con fuerza en las cosas,291.0,363.0,290.0,260.0,392.0,428.0,439.0,432.0,434.0,492.0,572.0,715.0,691.0,671.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,43.0,34.0,34.0,35.0,33.0,45.0,49.0,49.0,60.0,61.0,74.0,81.0,166.0,91.0,
    5.2.2.-Robos con fuerza en viviendas,109.0,139.0,99.0,85.0,108.0,161.0,131.0,145.0,148.0,149.0,188.0,206.0,72.0,137.0,
    5.2.3.-Robos con fuerza en establecimientos,35.0,55.0,78.0,50.0,91.0,82.0,88.0,71.0,79.0,104.0,122.0,150.0,160.0,181.0,
    5.3.-Robos con violencia o intimidación,43.0,44.0,44.0,31.0,37.0,23.0,44.0,49.0,48.0,43.0,47.0,49.0,67.0,72.0,
    5.3.1.-Robos con violencia en vía pública,26.0,26.0,19.0,13.0,15.0,8.0,17.0,25.0,30.0,25.0,28.0,37.0,41.0,30.0,
    5.3.2.-Robos con violencia en viviendas,4.0,4.0,2.0,6.0,2.0,3.0,1.0,6.0,7.0,10.0,4.0,3.0,4.0,3.0,
    5.3.3.-Robos con violencia en establecimientos,9.0,8.0,12.0,9.0,13.0,8.0,15.0,6.0,6.0,4.0,12.0,7.0,5.0,28.0,
Palmas (Las),
    5.2.-Robos con fuerza en las cosas,3827.0,4561.0,3886.0,3519.0,4881.0,4947.0,5628.0,5758.0,5412.0,5714.0,6676.0,7146.0,6879.0,7220.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1394.0,1867.0,1300.0,1021.0,1652.0,1601.0,1931.0,1857.0,1745.0,1890.0,2108.0,2244.0,2371.0,1701.0,
    5.2.2.-Robos con fuerza en viviendas,998.0,1042.0,1167.0,1148.0,1418.0,1348.0,1396.0,1533.0,1467.0,1423.0,1921.0,2105.0,1304.0,1752.0,
    5.2.3.-Robos con fuerza en establecimientos,588.0,757.0,597.0,618.0,703.0,845.0,911.0,977.0,866.0,888.0,890.0,942.0,790.0,1208.0,
    5.3.-Robos con violencia o intimidación,996.0,881.0,796.0,685.0,825.0,796.0,762.0,777.0,779.0,918.0,1057.0,1184.0,1212.0,1114.0,
    5.3.1.-Robos con violencia en vía pública,585.0,510.0,471.0,385.0,481.0,469.0,466.0,472.0,453.0,572.0,675.0,770.0,722.0,795.0,
    5.3.2.-Robos con violencia en viviendas,83.0,82.0,76.0,89.0,94.0,67.0,55.0,72.0,67.0,63.0,83.0,80.0,74.0,63.0,
    5.3.3.-Robos con violencia en establecimientos,177.0,143.0,134.0,123.0,115.0,139.0,130.0,118.0,134.0,148.0,135.0,148.0,141.0,133.0,
Pontevedra,
    5.2.-Robos con fuerza en las cosas,2994.0,2909.0,2159.0,2630.0,3867.0,3465.0,3648.0,3525.0,4433.0,4542.0,5094.0,5253.0,5501.0,4854.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,954.0,1008.0,713.0,817.0,1087.0,863.0,1078.0,870.0,1047.0,1003.0,1325.0,1549.0,1633.0,987.0,
    5.2.2.-Robos con fuerza en viviendas,845.0,978.0,786.0,877.0,1122.0,1225.0,1237.0,1325.0,1583.0,1582.0,1662.0,1439.0,1255.0,1107.0,
    5.2.3.-Robos con fuerza en establecimientos,656.0,456.0,303.0,520.0,1026.0,763.0,783.0,743.0,936.0,1003.0,1067.0,1100.0,1143.0,981.0,
    5.3.-Robos con violencia o intimidación,329.0,305.0,213.0,258.0,332.0,375.0,425.0,406.0,367.0,398.0,515.0,606.0,504.0,549.0,
    5.3.1.-Robos con violencia en vía pública,150.0,158.0,115.0,109.0,155.0,201.0,253.0,217.0,199.0,228.0,234.0,322.0,253.0,326.0,
    5.3.2.-Robos con violencia en viviendas,33.0,27.0,15.0,28.0,41.0,49.0,38.0,44.0,34.0,47.0,59.0,52.0,47.0,52.0,
    5.3.3.-Robos con violencia en establecimientos,109.0,92.0,66.0,88.0,85.0,85.0,76.0,96.0,93.0,88.0,161.0,163.0,132.0,128.0,
Salamanca,
    5.2.-Robos con fuerza en las cosas,1143.0,1138.0,879.0,776.0,923.0,940.0,1166.0,975.0,1085.0,1095.0,1112.0,1221.0,1271.0,1595.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,505.0,281.0,283.0,307.0,261.0,217.0,317.0,301.0,236.0,199.0,211.0,213.0,472.0,531.0,
    5.2.2.-Robos con fuerza en viviendas,295.0,430.0,265.0,221.0,361.0,359.0,402.0,252.0,354.0,390.0,306.0,332.0,193.0,276.0,
    5.2.3.-Robos con fuerza en establecimientos,133.0,180.0,130.0,98.0,112.0,162.0,223.0,257.0,251.0,289.0,254.0,246.0,219.0,300.0,
    5.3.-Robos con violencia o intimidación,124.0,95.0,83.0,87.0,97.0,145.0,138.0,153.0,166.0,156.0,158.0,157.0,172.0,175.0,
    5.3.1.-Robos con violencia en vía pública,71.0,43.0,41.0,53.0,58.0,72.0,89.0,94.0,115.0,96.0,104.0,99.0,111.0,109.0,
    5.3.2.-Robos con violencia en viviendas,11.0,14.0,6.0,10.0,9.0,27.0,16.0,19.0,15.0,19.0,18.0,19.0,11.0,22.0,
    5.3.3.-Robos con violencia en establecimientos,34.0,25.0,30.0,18.0,21.0,28.0,21.0,24.0,20.0,23.0,18.0,21.0,35.0,34.0,
Santa Cruz de Tenerife,
    5.2.-Robos con fuerza en las cosas,4026.0,4035.0,3753.0,3982.0,6007.0,6651.0,7010.0,6900.0,7340.0,6900.0,6985.0,7810.0,7499.0,6564.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,1575.0,1506.0,1615.0,1661.0,2892.0,2649.0,2743.0,2650.0,3021.0,2724.0,2490.0,2594.0,2568.0,1872.0,
    5.2.2.-Robos con fuerza en viviendas,1122.0,1328.0,1261.0,1208.0,1468.0,1881.0,1867.0,2039.0,1931.0,2186.0,2080.0,2189.0,1805.0,1998.0,
    5.2.3.-Robos con fuerza en establecimientos,661.0,484.0,359.0,482.0,655.0,894.0,1117.0,1076.0,1145.0,855.0,919.0,959.0,810.0,996.0,
    5.3.-Robos con violencia o intimidación,862.0,734.0,520.0,495.0,710.0,694.0,674.0,760.0,751.0,710.0,761.0,827.0,805.0,830.0,
    5.3.1.-Robos con violencia en vía pública,521.0,438.0,274.0,237.0,424.0,401.0,412.0,490.0,487.0,489.0,533.0,576.0,504.0,526.0,
    5.3.2.-Robos con violencia en viviendas,65.0,56.0,45.0,59.0,60.0,57.0,61.0,60.0,63.0,45.0,55.0,54.0,38.0,61.0,
    5.3.3.-Robos con violencia en establecimientos,156.0,157.0,121.0,123.0,141.0,149.0,115.0,131.0,112.0,95.0,87.0,100.0,123.0,148.0,
Cantabria,
    5.2.-Robos con fuerza en las cosas,2797.0,2841.0,2528.0,2225.0,2471.0,2559.0,2600.0,2562.0,2279.0,2550.0,2432.0,2859.0,2560.0,2547.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,511.0,578.0,501.0,464.0,439.0,519.0,486.0,407.0,499.0,615.0,450.0,672.0,675.0,383.0,
    5.2.2.-Robos con fuerza en viviendas,1291.0,1348.0,1167.0,858.0,1068.0,979.0,939.0,982.0,733.0,860.0,905.0,1004.0,543.0,604.0,
    5.2.3.-Robos con fuerza en establecimientos,465.0,445.0,437.0,499.0,540.0,581.0,686.0,664.0,528.0,532.0,543.0,603.0,507.0,641.0,
    5.3.-Robos con violencia o intimidación,255.0,242.0,194.0,178.0,223.0,177.0,214.0,214.0,261.0,296.0,371.0,419.0,323.0,397.0,
    5.3.1.-Robos con violencia en vía pública,129.0,109.0,99.0,82.0,110.0,88.0,127.0,109.0,149.0,166.0,199.0,242.0,185.0,277.0,
    5.3.2.-Robos con violencia en viviendas,32.0,31.0,25.0,20.0,25.0,16.0,25.0,23.0,19.0,27.0,45.0,43.0,24.0,27.0,
    5.3.3.-Robos con violencia en establecimientos,63.0,71.0,38.0,37.0,54.0,40.0,29.0,55.0,45.0,58.0,79.0,79.0,49.0,70.0,
Segovia,
    5.2.-Robos con fuerza en las cosas,586.0,577.0,451.0,399.0,542.0,642.0,643.0,830.0,788.0,868.0,910.0,1030.0,875.0,921.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,96.0,87.0,52.0,63.0,83.0,95.0,71.0,107.0,97.0,126.0,154.0,170.0,173.0,199.0,
    5.2.2.-Robos con fuerza en viviendas,224.0,233.0,194.0,152.0,195.0,290.0,246.0,344.0,324.0,332.0,359.0,381.0,221.0,215.0,
