
Series anuales. Hechos conocidos
Hechos conocidos por provincias, tipología penal y periodo.
Unidades: Hechos conocidos

,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
Total Nacional,
    5.2.3.-Robos con fuerza en establecimientos,399.0,374.0,351.0,284.0,485.0,467.0,498.0,621.0,631.0,612.0,660.0,723.0,709.0,967.0,
    5.3.-Robos con violencia o intimidación,657.0,677.0,534.0,386.0,537.0,550.0,588.0,692.0,697.0,853.0,1079.0,1177.0,1081.0,1050.0,
    5.3.1.-Robos con violencia en vía pública,397.0,423.0,346.0,232.0,329.0,335.0,343.0,453.0,451.0,569.0,716.0,799.0,573.0,714.0,
    5.3.2.-Robos con violencia en viviendas,67.0,73.0,61.0,46.0,50.0,53.0,53.0,63.0,62.0,71.0,81.0,100.0,86.0,79.0,
    5.3.3.-Robos con violencia en establecimientos,81.0,80.0,59.0,50.0,64.0,75.0,99.0,78.0,92.0,96.0,112.0,136.0,161.0,164.0,
Ávila,
    5.2.-Robos con fuerza en las cosas,646.0,501.0,507.0,510.0,708.0,768.0,737.0,920.0,999.0,1058.0,1159.0,1077.0,957.0,994.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,79.0,41.0,46.0,42.0,76.0,84.0,92.0,78.0,64.0,96.0,101.0,106.0,101.0,94.0,
    5.2.2.-Robos con fuerza en viviendas,269.0,229.0,255.0,235.0,290.0,349.0,282.0,455.0,478.0,491.0,570.0,453.0,299.0,395.0,
    5.2.3.-Robos con fuerza en establecimientos,75.0,64.0,64.0,78.0,100.0,77.0,135.0,124.0,185.0,146.0,145.0,147.0,161.0,144.0,
    5.3.-Robos con violencia o intimidación,26.0,25.0,23.0,13.0,23.0,39.0,32.0,38.0,45.0,57.0,53.0,65.0,63.0,68.0,
    5.3.1.-Robos con violencia en vía pública,10.0,10.0,10.0,6.0,12.0,12.0,16.0,28.0,26.0,34.0,32.0,44.0,39.0,47.0,
    5.3.2.-Robos con violencia en viviendas,7.0,3.0,5.0,2.0,4.0,12.0,5.0,0.0,2.0,5.0,7.0,4.0,3.0,6.0,
    5.3.3.-Robos con violencia en establecimientos,5.0,7.0,2.0,4.0,3.0,9.0,5.0,4.0,6.0,1.0,7.0,6.0,9.0,10.0,
Badajoz,
    5.2.-Robos con fuerza en las cosas,2682.0,2430.0,1924.0,2098.0,2497.0,2677.0,2902.0,3134.0,3266.0,3495.0,3582.0,3531.0,3757.0,3760.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,622.0,361.0,369.0,363.0,522.0,489.0,563.0,677.0,705.0,701.0,750.0,808.0,973.0,1043.0,
    5.2.2.-Robos con fuerza en viviendas,967.0,864.0,715.0,751.0,776.0,897.0,978.0,964.0,948.0,1041.0,1021.0,961.0,725.0,819.0,
    5.2.3.-Robos con fuerza en establecimientos,383.0,446.0,318.0,397.0,465.0,561.0,622.0,684.0,633.0,704.0,652.0,601.0,680.0,725.0,
    5.3.-Robos con violencia o intimidación,231.0,205.0,132.0,155.0,252.0,179.0,224.0,220.0,238.0,232.0,297.0,300.0,296.0,343.0,
    5.3.1.-Robos con violencia en vía pública,107.0,98.0,62.0,77.0,136.0,98.0,124.0,134.0,139.0,134.0,153.0,185.0,185.0,216.0,
    5.3.2.-Robos con violencia en viviendas,29.0,38.0,25.0,19.0,27.0,18.0,19.0,24.0,29.0,21.0,36.0,27.0,35.0,24.0,
    5.3.3.-Robos con violencia en establecimientos,70.0,49.0,36.0,45.0,56.0,46.0,56.0,38.0,45.0,43.0,70.0,63.0,51.0,74.0,
Balears (Illes),
    5.2.-Robos con fuerza en las cosas,6806.0,7048.0,6119.0,5724.0,7883.0,7967.0,8666.0,8737.0,8506.0,9219.0,10050.0,11756.0,13000.0,13221.0,
    5.2.1.-Robos con fuerza en las cosas en el interior de vehículos,3195.0,3192.0,2582.0,2257.0,2893.0,2455.0,2895.0,2965.0,2528.0,2878.0,3037.0,3694.0,4211.0,2774.0,
    5.2.2.-Robos con fuerza en viviendas,1937.0,2174.0,1921.0,1857.0,2598.0,3067.0,3125.0,3104.0,3323.0,3608.0,3540.0,4337.0,2921.0,3476.0,
    5.2.3.-Robos con fuerza en establecimientos,738.0,748.0,725.0,748.0,965.0,1030.0,1145.0,1138.0,1042.0,1027.0,1300.0,1346.0,1945.0,2468.0,
    5.3.-Robos con violencia o intimidación,1519.0,1272.0,896.0,749.0,1314.0,1230.0,1354.0,1186.0,1069.0,1217.0,1319.0,1585.0,1608.0,1476.0,
    5.3.1.-Robos con violencia en vía pública,994.0,811.0,571.0,465.0,843.0,771.0,899.0,721.0,652.0,769.0,851.0,1031.0,939.0,1031.0,
    5.3.2.-Robos con violencia en viviendas,82.0,88.0,79.0,72.0,85.0,89.0,68.0,78.0,61.0,89.0,78.0,101.0,82.0,73.0,
    5.3.3.-Robos con violencia en establecimientos,228.0,167.0,118.0,113.0,164.0,157.0,186.0,175.0,141.0,150.0,169.0,190.0,156.0,189.0,
Barcelona,
    5.2.-Robos con fuerza en las cosas,44688.0,45625.0,41419.0,38798.0,54110.0,49423.0,45259.0,46315.0,47541.0,47274.0,51913.0,55610.0,56723.0,64236.0,
