Province,Latitude,Longitude,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
    Palencia,42.00946,-4.52785,3595.0,3560.0,3547.0,3361.0,3069.0,2606.0,2241.0,2231.0,2085.0,2056.0,1418.0,1735.0,2008.0,2011.0
    Palmas (Las),28.12355,-15.43626,39831.0,41658.0,42479.0,41572.0,38826.0,35010.0,32640.0,32341.0,30297.0,30299.0,23237.0,24899.0,29237.0,30340.0
    Pontevedra,42.43386,-8.64805,22896.0,25153.0,25509.0,25246.0,23507.0,21303.0,18157.0,18037.0,17283.0,17372.0,12451.0,12188.0,16115.0,16622.0
    Rioja (La),42.28707,-2.5396,8005.0,7846.0,8535.0,8410.0,7475.0,6793.0,6047.0,5966.0,5343.0,5301.0,3975.0,4682.0,6514.0,7070.0
    Salamanca,40.9701,-5.66354,9076.0,7896.0,7915.0,7552.0,7129.0,7654.0,6921.0,6781.0,6317.0,5998.0,4167.0,4809.0,6088.0,6427.0
    Santa Cruz de Tenerife,28.46363,-16.25185,37525.0,39055.0,39696.0,37626.0,37012.0,36545.0,35022.0,34808.0,32325.0,30745.0,20924.0,21085.0,26541.0,28751.0
    Segovia,40.94291,-4.10883,3956.0,3916.0,4176.0,3814.0,3538.0,3152.0,2828.0,2423.0,2415.0,2283.0,1756.0,2017.0,2543.0,2537.0
    Sevilla,37.38863,-5.98233,88670.0,86107.0,83823.0,82330.0,75824.0,69309.0,65818.0,67579.0,65497.0,69304.0,50312.0,51143.0,63799.0,68907.0
    Soria,41.7636,-2.46499,1977.0,1975.0,1975.0,1799.0,1647.0,1673.0,1489.0,1441.0,1277.0,1284.0,870.0,1003.0,1395.0,1482.0
    Tarragona,41.11888,1.24449,40550.0,38782.0,38729.0,37347.0,35499.0,30619.0,28206.0,28143.0,29187.0,28145.0,20537.0,24053.0,29128.0,30197.0
    Teruel,40.3448,-1.10643,2452.0,2419.0,2625.0,2394.0,2104.0,1659.0,1590.0,1348.0,1549.0,1359.0,832.0,1064.0,1616.0,1604.0
    Toledo,39.86283,-4.02732,21574.0,24490.0,25469.0,26242.0,25023.0,22875.0,20713.0,19637.0,19664.0,18199.0,14158.0,13621.0,15455.0,16774.0
    Valencia/València,39.46991,-0.37629,129565.0,127011.0,128498.0,116664.0,104909.0,94398.0,88965.0,85495.0,84756.0,85339.0,63733.0,81190.0,96968.0,103240.0
    Valladolid,41.65225,-4.72453,16404.0,15183.0,16495.0,16231.0,14909.0,12646.0,11057.0,10754.0,10469.0,10206.0,7094.0,8595.0,9635.0,9220.0
    Zamora,41.50332,-5.74456,3235.0,3492.0,3931.0,3597.0,3356.0,3219.0,2909.0,2991.0,2683.0,2643.0,1889.0,2149.0,2673.0,2479.0
    Zaragoza,41.64882,-0.88909,35771.0,34091.0,31454.0,27790.0,24520.0,22946.0,22516.0,21240.0,21463.0,22500.0,15732.0,18932.0,21909.0,22342.0
    Ávila,40.65668,-4.68186,4202.0,4078.0,4295.0,4294.0,3893.0,3490.0,3037.0,2665.0,2676.0,2530.0,1826.0,2038.0,2202.0,2623.0
