Province,Latitude,Longitude,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
    Melilla,35.29298,-2.93871,4365.0,4476.0,4154.0,4351.0,4248.0,4654.0,4658.0,4365.0,4793.0,4845.0,3384.0,2835.0,3004.0,2876.0
    Murcia,37.99224,-1.13065,55651.0,55902.0,56641.0,54776.0,51898.0,50868.0,48219.0,49122.0,47689.0,47454.0,36030.0,41487.0,49376.0,52106.0
    Málaga,36.72127,-4.4214,97489.0,92413.0,88065.0,80102.0,68680.0,64974.0,65214.0,62275.0,58784.0,58716.0,43102.0,50406.0,61058.0,64309.0
    Navarra,42.69539,-1.67607,15471.0,16263.0,16903.0,19502.0,21164.0,17497.0,18435.0,17220.0,17703.0,18623.0,12003.0,14089.0,18754.0,19385.0
    Ourense,42.33579,-7.86388,5866.0,6186.0,7410.0,8117.0,7098.0,6010.0,5776.0,4906.0,4767.0,4663.0,3927.0,4140.0,5141.0,5765.0
    Palencia,42.00946,-4.52785,4007.0,3970.0,3898.0,3673.0,3430.0,2912.0,2541.0,2542.0,2398.0,2367.0,1663.0,2023.0,2369.0,2413.0
    Palmas (Las),28.12355,-15.43626,43969.0,45593.0,46426.0,45191.0,42257.0,38740.0,36278.0,36369.0,34129.0,34404.0,26771.0,28728.0,33337.0,34857.0
    Pontevedra,42.43386,-8.64805,25259.0,27607.0,27859.0,27405.0,25665.0,23471.0,20230.0,19982.0,19199.0,19297.0,14110.0,14027.0,18231.0,18713.0
    Rioja (La),42.28707,-2.5396,8852.0,8606.0,9201.0,9042.0,8078.0,7336.0,6604.0,6515.0,5905.0,5878.0,4475.0,5340.0,7306.0,7823.0
    Salamanca,40.9701,-5.66354,9737.0,8628.0,8588.0,8212.0,7780.0,8300.0,7446.0,7358.0,7004.0,6624.0,4661.0,5328.0,6782.0,7107.0
    Santa Cruz de Tenerife,28.46363,-16.25185,40949.0,41959.0,42588.0,40415.0,39656.0,39224.0,37754.0,37672.0,35122.0,33562.0,23328.0,23790.0,29479.0,32081.0
    Segovia,40.94291,-4.10883,4279.0,4249.0,4515.0,4091.0,3793.0,3429.0,3071.0,2687.0,2631.0,2538.0,1995.0,2255.0,2870.0,2843.0
    Sevilla,37.38863,-5.98233,93461.0,90690.0,88146.0,86653.0,80379.0,73727.0,69886.0,72061.0,69769.0,73806.0,54428.0,55638.0,69376.0,75133.0
    Soria,41.7636,-2.46499,2174.0,2184.0,2182.0,1934.0,1764.0,1814.0,1645.0,1595.0,1441.0,1446.0,992.0,1148.0,1594.0,1683.0
    Tarragona,41.11888,1.24449,42232.0,40530.0,40278.0,38757.0,36941.0,32084.0,29688.0,29661.0,30635.0,29618.0,21602.0,25559.0,30719.0,31899.0
    Teruel,40.3448,-1.10643,2696.0,2654.0,2835.0,2565.0,2273.0,1805.0,1754.0,1512.0,1724.0,1548.0,974.0,1240.0,1870.0,1862.0
    Toledo,39.86283,-4.02732,23050.0,26023.0,26866.0,27581.0,26471.0,24250.0,22144.0,21056.0,21127.0,19681.0,15491.0,15162.0,17229.0,18620.0
    Valencia/València,39.46991,-0.37629,135945.0,133467.0,134414.0,122393.0,110288.0,99590.0,94477.0,91018.0,90336.0,91078.0,68382.0,86931.0,104227.0,110283.0
    Valladolid,41.65225,-4.72453,17525.0,16398.0,17709.0,17294.0,15875.0,13541.0,12014.0,11726.0,11404.0,11198.0,7835.0,9519.0,10668.0,10311.0
    Zamora,41.50332,-5.74456,3575.0,3853.0,4299.0,3873.0,3650.0,3528.0,3220.0,3307.0,2999.0,2902.0,2083.0,2381.0,2983.0,2772.0
    Zaragoza,41.64882,-0.88909,37759.0,36017.0,33167.0,29601.0,26251.0,24514.0,24089.0,22881.0,23145.0,24356.0,17126.0,20610.0,24010.0,24553.0
    Ávila,40.65668,-4.68186,4606.0,4538.0,4730.0,4621.0,4254.0,3863.0,3365.0,3002.0,3013.0,2894.0,2067.0,2379.0,2618.0,3076.0
